"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"B","Privilege / Logon","854","Failed attempt to perform a privileged operation.","4673:854","C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe (396); C:\\Windows\\System32\\dllhost.exe (97); C:\\Windows\\explorer.exe (91); C:\\Windows\\System32\\svchost.exe (60); C:\\Program Files\\Mozilla Firefox\\firefox.exe (57)","","","","T1078","Valid Accounts","ブラウザ、Windowsサービス、Wazuh/SCA、通常ログオンに伴う権限要求・監査失敗","processName別に代表例を選び、Security 4673/4624のユーザーとSysmonプロセスを確認"
"A","Discovery / Account Discovery","37","Discovery activity executed","1:37","C:\\Windows\\SysWOW64\\net.exe (20); C:\\Windows\\SysWOW64\\net1.exe (17)","C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe (20); C:\\Windows\\SysWOW64\\net.exe (17)","C:\\Windows\\system32\\net1 accounts || net.exe accounts || net.exe accounts","","T1087","Account Discovery","Wazuh/SCAの設定確認、管理操作、開発環境確認によるユーザー・アカウント・ホスト情報確認","net.exe等の親プロセス、実行ユーザー、同時刻のWazuh/SCA実行有無を確認"
"A","TaskScheduler / Persistence類似","31","Process loaded taskschd.dll module. May be used to create delayed malware execution","7:31","C:\\Windows\\System32\\svchost.exe (11); C:\\Windows\\System32\\taskhostw.exe (5); C:\\Windows\\System32\\sppsvc.exe (4); C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe (3); C:\\Windows\\System32\\MoUsoCoreWorker.exe (2)","","","","T1053.005","Scheduled Task","Windows標準タスク、Edge/Update/Software Protection、アプリ更新処理によるタスク操作","TaskScheduler.evtxとSysmon EID1/7/11を突合し、実タスク名を確認"
"A","Script / PowerShell","27","Scripting file created under Windows Temp or User folder","11:27","C:\\Program Files\\Mozilla Firefox\\firefox.exe (25); C:\\Windows\\Explorer.EXE (2)","","","C:\\Users\\win10pro\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\hs3zp0sf.default-release\\prefs.js || C:\\Users\\win10pro\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\hs3zp0sf.default-release\\prefs-1.js || C:\\Users\\win10pro\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles\\hs3zp0sf.default-release\\prefs-1.js","T1059;T1105","Command and Scripting Interpreter;Ingress Tool Transfer","Chocolatey、開発ツール、Wazuh/SCA、インストール処理による一時スクリプト生成・PowerShell利用","作成ファイルパス、親プロセス、同時刻のソフト導入・更新イベントを確認"
"B","Privilege / Logon","22","Windows logon success.","4624:22","C:\\Windows\\System32\\services.exe (22)","","","","T1078","Valid Accounts","ブラウザ、Windowsサービス、Wazuh/SCA、通常ログオンに伴う権限要求・監査失敗","processName別に代表例を選び、Security 4673/4624のユーザーとSysmonプロセスを確認"
"A","Discovery / Account Discovery","16","A net.exe account discovery command was initiated","1:16","C:\\Windows\\SysWOW64\\net1.exe (8); C:\\Windows\\SysWOW64\\net.exe (8)","C:\\Windows\\SysWOW64\\net.exe (8); C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe (8)","net user administrator || C:\\Windows\\system32\\net1 user administrator || net user guest","","T1087","Account Discovery","Wazuh/SCAの設定確認、管理操作、開発環境確認によるユーザー・アカウント・ホスト情報確認","net.exe等の親プロセス、実行ユーザー、同時刻のWazuh/SCA実行有無を確認"
"B","File / DLL / Security Tool","4","Lsass process was accessed by C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.24070.5-0\\MsMpEng.exe with read permissions, possible credential dump","10:4","C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.24070.5-0\\MsMpEng.exe (4)","","","","T1003.001","LSASS Memory","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
"B","Privilege / Logon","4","Windows audit failure event.","4957:4","","","","","","","ブラウザ、Windowsサービス、Wazuh/SCA、通常ログオンに伴う権限要求・監査失敗","processName別に代表例を選び、Security 4673/4624のユーザーとSysmonプロセスを確認"
"A","TaskScheduler / Persistence類似","4","Software protection service scheduled successfully.","16384:4","","","","","","","Windows標準タスク、Edge/Update/Software Protection、アプリ更新処理によるタスク操作","TaskScheduler.evtxとSysmon EID1/7/11を突合し、実タスク名を確認"
"C","SCA / Wazuh内部チェック","3","SCA summary: CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Score less than 50% (37)",":3","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"B","File / DLL / Security Tool","3","Possible DLL search order hijack by C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\ExeUpdateAgent.dll created in Windows root folder","11:3","C:\\Windows\\system32\\svchost.exe (3)","","","C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\ExeUpdateAgent.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\ExeUpdateAgent.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\ExeUpdateAgent.dll","T1574.001;T1574.002","DLL Search Order Hijacking;DLL Side-Loading","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
