Time,Image,ParentImage,CommandLine,User,ProcessGuid,ParentProcessGuid
"2024-09-09 21:59:10","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding","NT AUTHORITY\NETWORK SERVICE","{30f6f5d4-f11e-66de-3601-000000000400}","{30f6f5d4-ee8f-66de-0f00-000000000400}"
"2024-09-09 21:57:00","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe",""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" ","DESKTOP-0B7RNLE\win10","{30f6f5d4-f09c-66de-2d01-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:56:44","C:\Windows\System32\rundll32.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\rundll32.exe C:\Windows\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding","DESKTOP-0B7RNLE\win10","{30f6f5d4-f08c-66de-2601-000000000400}","{30f6f5d4-ee8f-66de-0f00-000000000400}"
"2024-09-09 21:52:19","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding","NT AUTHORITY\NETWORK SERVICE","{30f6f5d4-ef83-66de-1901-000000000400}","{30f6f5d4-ee8f-66de-0f00-000000000400}"
"2024-09-09 21:52:18","C:\Windows\System32\sc.exe","C:\Windows\System32\svchost.exe",""C:\Windows\system32\sc.exe" start pushtoinstall registration","NT AUTHORITY\SYSTEM","{30f6f5d4-ef82-66de-1501-000000000400}","{30f6f5d4-ee91-66de-1900-000000000400}"
"2024-09-09 21:52:18","C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Windows\System32\svchost.exe",""C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c","DESKTOP-0B7RNLE\win10","{30f6f5d4-ef82-66de-1401-000000000400}","{30f6f5d4-ee91-66de-1900-000000000400}"
"2024-09-09 21:51:01","C:\Windows\SysWOW64\SecEdit.exe","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe",""C:\Windows\system32\SecEdit.exe" /export /cfg C:\Windows\TEMP/secexport.cfg","NT AUTHORITY\SYSTEM","{30f6f5d4-ef35-66de-d500-000000000400}","{30f6f5d4-ef31-66de-d300-000000000400}"
"2024-09-09 21:50:57","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","powershell "$null = secedit /export /cfg $env:temp/secexport.cfg; $(gc $env:temp/secexport.cfg | Select-String \"LSAAnonymousNameLookup\").ToString().Split(\"=\")[1].Trim()"","NT AUTHORITY\SYSTEM","{30f6f5d4-ef31-66de-d300-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:56","C:\Windows\SysWOW64\reg.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticecaption","NT AUTHORITY\SYSTEM","{30f6f5d4-ef30-66de-d100-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:56","C:\Windows\SysWOW64\reg.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticetext","NT AUTHORITY\SYSTEM","{30f6f5d4-ef30-66de-cf00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:56","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef30-66de-ce00-000000000400}","{30f6f5d4-ef30-66de-cc00-000000000400}"
"2024-09-09 21:50:56","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef30-66de-cc00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:56","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 user guest","NT AUTHORITY\SYSTEM","{30f6f5d4-ef30-66de-cb00-000000000400}","{30f6f5d4-ef2f-66de-c900-000000000400}"
"2024-09-09 21:50:55","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net user guest","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2f-66de-c900-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:55","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 user administrator","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2f-66de-c800-000000000400}","{30f6f5d4-ef2f-66de-c600-000000000400}"
"2024-09-09 21:50:55","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net user administrator","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2f-66de-c600-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:55","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 user guest","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2f-66de-c500-000000000400}","{30f6f5d4-ef2f-66de-c300-000000000400}"
"2024-09-09 21:50:55","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net user guest","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2f-66de-c300-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:54","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 user administrator","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2e-66de-c200-000000000400}","{30f6f5d4-ef2e-66de-c000-000000000400}"
"2024-09-09 21:50:54","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net user administrator","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2e-66de-c000-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:54","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2e-66de-bf00-000000000400}","{30f6f5d4-ef2d-66de-bd00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-bd00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-bc00-000000000400}","{30f6f5d4-ef2d-66de-ba00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-ba00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-b900-000000000400}","{30f6f5d4-ef2c-66de-b700-000000000400}"
"2024-09-09 21:50:52","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2c-66de-b700-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:52","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2b-66de-b500-000000000400}","{30f6f5d4-ef25-66de-b000-000000000400}"
"2024-09-09 21:50:45","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef25-66de-b000-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:45","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef25-66de-ae00-000000000400}","{30f6f5d4-ef21-66de-a800-000000000400}"
"2024-09-09 21:50:41","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef21-66de-a800-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:40","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef20-66de-a500-000000000400}","{30f6f5d4-ef02-66de-a000-000000000400}"
