process,event_count,micro_count,micro_ranks,attack_events,normal_events,usecase_target,description
spoolsv.exe,986,122,"1,3,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,147,148,152,153,154,155,156,157,158,159,160,163,166,168,169,170,174,175,181,183,184,185,186,187,188,189,190,191,193,194,195,196,197,198,201,202,214,215,216,217,218,220,221,223,224,225,226,227,228,231,232,235,237,238,240,241,242,243,244,250,256,265,266,267,268,269,270",0,986,maybe,needs manual interpretation
tpautoconnsvc.exe,753,92,"2,49,50,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,152,153,161,162,171,186,187,188,189,190,193,194,195,196,197,198,202,214,215,216,217,218,220,221,223,224,225,240,241,242,243,244,245,259",0,753,maybe,needs manual interpretation
repwmiutils.exe,284,31,"7,8,9,10,11,12,13,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,146,246,252,257,258,261,264",0,284,maybe,needs manual interpretation
firefox.exe,134,16,"164,172,182,203,206,207,208,209,210,211,212,213,230,234,248,255",0,134,yes,browser candidate
repmgr.exe,101,23,"155,156,157,159,172,173,176,181,192,199,204,219,222,229,235,246,249,252,253,254,257,258,261",0,101,yes,document-access chain candidate
vmtoolsd.exe,66,18,"157,164,177,178,182,205,231,232,235,239,247,248,249,250,255,258,260,264",0,66,maybe,needs manual interpretation
sysmon.exe,51,15,"1,167,179,181,222,233,236,237,238,245,246,252,253,254,261",0,51,maybe,needs manual interpretation
wmiprvse.exe,45,7,"26,36,69,149,177,199,249",0,45,maybe,needs manual interpretation
flashplayerupdateservice.exe,41,5,"112,150,151,180,200",0,41,maybe,needs manual interpretation
searchprotocolhost.exe,27,4,"233,236,262,263",0,27,maybe,needs manual interpretation
searchindexer.exe,25,6,"167,176,179,233,259,260",0,25,maybe,needs manual interpretation
-,23,13,"2,155,156,159,165,167,179,181,222,233,237,253,254",0,23,maybe,needs manual interpretation
svchost.exe,19,6,"146,157,177,180,200,239",0,19,no,needs manual interpretation
csrss.exe,16,12,"2,159,165,167,179,222,233,236,237,253,254,261",0,16,no,system-side noise
winword.exe,15,2,"178,251",0,15,yes,document-viewing candidate
msiexec.exe,13,2,"173,239",0,13,maybe,needs manual interpretation
services.exe,11,2,"165,259",0,11,maybe,needs manual interpretation
conhost.exe,4,1,200,0,4,maybe,needs manual interpretation
