micro_rank,micro_name,processes_text,noncore_event_count,attack_events,normal_events
50,chunk231 micro08,vmtoolsd.exe:3,3,0,10
51,chunk761 micro08,"vmtoolsd.exe:6, explorer.exe:4",10,0,10
52,chunk231 micro09,"vmtoolsd.exe:4, firefox.exe:2",6,0,10
53,chunk234 micro01,"vmtoolsd.exe:7, firefox.exe:3",10,0,10
54,chunk742 micro09,"vmtoolsd.exe:4, firefox.exe:2",6,0,10
55,chunk761 micro07,vmtoolsd.exe:5,5,0,10
56,chunk761 micro09,vmtoolsd.exe:4,4,0,4
57,chunk050 micro07,vmtoolsd.exe:3,3,0,10
58,chunk234 micro00,"explorer.exe:5, taskhost.exe:3, vmtoolsd.exe:2",10,0,10
59,chunk050 micro00,vmtoolsd.exe:2,2,0,10
60,chunk005 micro02,firefox.exe:4,4,0,10
