dataset_label,contract,framework_group,run_count,chain_count,action_step_recall_hits,action_step_recall_total,action_step_recall,critical_evidence_recall_hits,critical_evidence_recall_total,critical_evidence_recall,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,candidate_claim_precision_hits,candidate_claim_precision_total,candidate_claim_precision,overclaim_slot_count
gpt-4.1-mini_2rep_component,formal_json_code_steps,collection_or_tool_invocation,30,5,113,270,0.419,23,90,0.256,15,60,0.250,77,258,0.298,181
gpt-4.1-mini_2rep_component,formal_json_code_steps,command_shell_execution,12,2,30,90,0.333,5,30,0.167,1,18,0.056,30,96,0.312,66
gpt-4.1-mini_2rep_component,formal_json_code_steps,network_service_behavior,78,13,260,468,0.556,58,156,0.372,25,78,0.321,237,624,0.380,387
gpt-4.1-mini_2rep_component,formal_json_code_steps,persistence_registry_run_key,6,1,27,54,0.500,4,18,0.222,2,12,0.167,19,36,0.528,17
gpt-4.1-mini_2rep_component,formal_json_code_steps,script_execution_chain,12,2,110,288,0.382,13,96,0.135,11,84,0.131,49,93,0.527,44
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,collection_or_tool_invocation,15,5,77,135,0.570,5,45,0.111,4,30,0.133,81,241,0.336,160
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,command_shell_execution,6,2,29,45,0.644,1,15,0.067,3,9,0.333,30,88,0.341,58
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,network_service_behavior,39,13,100,234,0.427,2,78,0.026,6,39,0.154,100,323,0.310,223
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,persistence_registry_run_key,3,1,14,27,0.519,0,9,0.000,1,6,0.167,13,36,0.361,23
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,script_execution_chain,6,2,58,144,0.403,3,48,0.062,8,42,0.190,50,81,0.617,31
gpt-5.4-mini_2rep_component,formal_json_code_steps,collection_or_tool_invocation,30,5,207,270,0.767,45,90,0.500,33,60,0.550,130,329,0.395,199
gpt-5.4-mini_2rep_component,formal_json_code_steps,command_shell_execution,12,2,62,90,0.689,20,30,0.667,10,18,0.556,62,138,0.449,76
gpt-5.4-mini_2rep_component,formal_json_code_steps,network_service_behavior,78,13,416,468,0.889,130,156,0.833,62,78,0.795,478,702,0.681,224
gpt-5.4-mini_2rep_component,formal_json_code_steps,persistence_registry_run_key,6,1,32,54,0.593,8,18,0.444,4,12,0.333,42,55,0.764,13
gpt-5.4-mini_2rep_component,formal_json_code_steps,script_execution_chain,12,2,202,288,0.701,54,96,0.562,22,84,0.262,86,135,0.637,49
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,collection_or_tool_invocation,15,5,108,135,0.800,34,45,0.756,17,30,0.567,23,56,0.411,33
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,command_shell_execution,6,2,41,45,0.911,13,15,0.867,6,9,0.667,8,25,0.320,17
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,network_service_behavior,39,13,205,234,0.876,67,78,0.859,32,39,0.821,66,94,0.702,28
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,persistence_registry_run_key,3,1,20,27,0.741,5,9,0.556,2,6,0.333,4,9,0.444,5
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,script_execution_chain,6,2,107,144,0.743,35,48,0.729,21,42,0.500,15,22,0.682,7
gpt-5.5_low_raw_component,raw_text_contract_failed,collection_or_tool_invocation,45,5,369,405,0.911,122,135,0.904,81,90,0.900,651,1116,0.583,366
gpt-5.5_low_raw_component,raw_text_contract_failed,command_shell_execution,18,2,120,135,0.889,40,45,0.889,24,27,0.889,229,467,0.490,193
gpt-5.5_low_raw_component,raw_text_contract_failed,network_service_behavior,117,13,699,702,0.996,232,234,0.991,116,117,0.991,1401,2211,0.634,594
gpt-5.5_low_raw_component,raw_text_contract_failed,persistence_registry_run_key,9,1,80,81,0.988,24,27,0.889,16,18,0.889,138,172,0.802,27
gpt-5.5_low_raw_component,raw_text_contract_failed,script_execution_chain,18,2,343,432,0.794,112,144,0.778,91,126,0.722,472,553,0.854,55
