dataset_label,stage,framework_group,run_count,chain_count,replicate_count,action_step_recall_hits,action_step_recall_total,action_step_recall,critical_evidence_recall_hits,critical_evidence_recall_total,critical_evidence_recall,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,candidate_claim_precision_hits,candidate_claim_precision_total,candidate_claim_precision,overclaim_slot_count
gpt-4.1-mini_3run_filtered23_component,stage1,collection_or_tool_invocation,15,5,3,91,135,0.674,15,45,0.333,11,30,0.367,77,193,0.399,116
gpt-4.1-mini_3run_filtered23_component,stage1,command_shell_execution,6,2,3,30,45,0.667,3,15,0.200,3,9,0.333,27,86,0.314,59
gpt-4.1-mini_3run_filtered23_component,stage1,network_service_behavior,39,13,3,157,234,0.671,29,78,0.372,17,39,0.436,154,329,0.468,175
gpt-4.1-mini_3run_filtered23_component,stage1,persistence_registry_run_key,3,1,3,17,27,0.630,1,9,0.111,2,6,0.333,14,40,0.350,26
gpt-4.1-mini_3run_filtered23_component,stage1,script_execution_chain,6,2,3,79,144,0.549,9,48,0.188,10,42,0.238,50,96,0.521,46
gpt-4.1-mini_3run_filtered23_component,stage2,collection_or_tool_invocation,15,5,3,53,135,0.393,6,45,0.133,3,30,0.100,43,177,0.243,134
gpt-4.1-mini_3run_filtered23_component,stage2,command_shell_execution,6,2,3,18,45,0.400,2,15,0.133,0,9,0.000,22,62,0.355,40
gpt-4.1-mini_3run_filtered23_component,stage2,network_service_behavior,39,13,3,112,234,0.479,15,78,0.192,7,39,0.179,105,418,0.251,313
gpt-4.1-mini_3run_filtered23_component,stage2,persistence_registry_run_key,3,1,3,6,27,0.222,0,9,0.000,0,6,0.000,5,8,0.625,3
gpt-4.1-mini_3run_filtered23_component,stage2,script_execution_chain,6,2,3,53,144,0.368,2,48,0.042,4,42,0.095,27,43,0.628,16
gpt-4.1-mini_3run_filtered23_component,stage3,collection_or_tool_invocation,15,5,3,46,135,0.341,7,45,0.156,5,30,0.167,38,129,0.295,91
gpt-4.1-mini_3run_filtered23_component,stage3,command_shell_execution,6,2,3,11,45,0.244,1,15,0.067,1,9,0.111,11,36,0.306,25
gpt-4.1-mini_3run_filtered23_component,stage3,network_service_behavior,39,13,3,91,234,0.389,16,78,0.205,7,39,0.179,78,200,0.390,122
gpt-4.1-mini_3run_filtered23_component,stage3,persistence_registry_run_key,3,1,3,18,27,0.667,3,9,0.333,1,6,0.167,13,24,0.542,11
gpt-4.1-mini_3run_filtered23_component,stage3,script_execution_chain,6,2,3,36,144,0.250,5,48,0.104,5,42,0.119,22,35,0.629,13
gpt-5.4-mini_3run_filtered23_component,stage1,collection_or_tool_invocation,15,5,3,112,135,0.830,18,45,0.400,21,30,0.700,48,104,0.462,56
gpt-5.4-mini_3run_filtered23_component,stage1,command_shell_execution,6,2,3,22,45,0.489,6,15,0.400,3,9,0.333,11,35,0.314,24
gpt-5.4-mini_3run_filtered23_component,stage1,network_service_behavior,39,13,3,194,234,0.829,58,78,0.744,29,39,0.744,163,284,0.574,121
gpt-5.4-mini_3run_filtered23_component,stage1,persistence_registry_run_key,3,1,3,18,27,0.667,3,9,0.333,3,6,0.500,14,17,0.824,3
gpt-5.4-mini_3run_filtered23_component,stage1,script_execution_chain,6,2,3,117,144,0.812,27,48,0.562,17,42,0.405,37,48,0.771,11
gpt-5.4-mini_3run_filtered23_component,stage2,collection_or_tool_invocation,15,5,3,103,135,0.763,29,45,0.644,13,30,0.433,49,117,0.419,68
gpt-5.4-mini_3run_filtered23_component,stage2,command_shell_execution,6,2,3,43,45,0.956,15,15,1.000,7,9,0.778,33,77,0.429,44
gpt-5.4-mini_3run_filtered23_component,stage2,network_service_behavior,39,13,3,211,234,0.902,68,78,0.872,33,39,0.846,186,261,0.713,75
gpt-5.4-mini_3run_filtered23_component,stage2,persistence_registry_run_key,3,1,3,16,27,0.593,5,9,0.556,2,6,0.333,18,26,0.692,8
gpt-5.4-mini_3run_filtered23_component,stage2,script_execution_chain,6,2,3,95,144,0.660,30,48,0.625,13,42,0.310,29,47,0.617,18
gpt-5.4-mini_3run_filtered23_component,stage3,collection_or_tool_invocation,15,5,3,100,135,0.741,32,45,0.711,16,30,0.533,56,164,0.341,108
gpt-5.4-mini_3run_filtered23_component,stage3,command_shell_execution,6,2,3,38,45,0.844,12,15,0.800,6,9,0.667,26,51,0.510,25
gpt-5.4-mini_3run_filtered23_component,stage3,network_service_behavior,39,13,3,216,234,0.923,71,78,0.910,32,39,0.821,195,251,0.777,56
gpt-5.4-mini_3run_filtered23_component,stage3,persistence_registry_run_key,3,1,3,18,27,0.667,5,9,0.556,1,6,0.167,14,21,0.667,7
gpt-5.4-mini_3run_filtered23_component,stage3,script_execution_chain,6,2,3,97,144,0.674,32,48,0.667,13,42,0.310,35,62,0.565,27
