model,stage,instance_id,review1_schema_pass,review2_schema_pass,totals_match,required_scores_match,order_scores_match,two_review_pass,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,review1_issues,review2_issues
gpt-5.4-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,9,9,3,3,2,2,2,3,1,,
gpt-5.4-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,True,True,False,True,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_03_e02_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,1,2,1,,
gpt-5.4-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,1,2,1,,
gpt-5.4-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_08_e06_sublime_python_script_execution_chain_stage1,True,True,True,True,True,True,12,12,4,4,3,3,2,2,0,,
gpt-5.4-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,1,2,1,,
gpt-5.4-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,True,True,True,True,True,True,9,9,3,3,2,2,2,2,0,,
gpt-5.4-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,True,True,False,True,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,6,4,,
gpt-5.4-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,9,15,3,5,2,4,3,4,1,,
gpt-5.4-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,3,5,2,,
gpt-5.4-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,0,6,0,2,0,1,0,0,0,,
gpt-5.4-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,1,4,3,,
gpt-5.4-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,True,True,False,True,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_20_e14_dns_packet_capture_batch_chain_stage1,True,True,False,True,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,9,9,3,3,2,2,2,3,1,,
gpt-5.4-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage1,chain_27_e19_dns_packet_capture_batch_chain_stage1,True,True,True,True,True,True,6,6,2,2,1,1,1,1,0,,
gpt-5.4-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,4,2,,
gpt-5.4-mini,stage2,chain_03_e02_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,True,True,False,True,False,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_08_e06_sublime_python_script_execution_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,True,True,True,True,True,True,3,9,0,3,0,2,0,1,1,,
gpt-5.4-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage2,chain_13_e09_dns_packet_capture_batch_chain_stage2,True,True,True,True,True,True,7,15,2,5,1,4,2,2,0,,
gpt-5.4-mini,stage2,chain_14_e09_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,0,6,0,2,0,1,0,0,0,,
gpt-5.4-mini,stage2,chain_15_e10_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage2,chain_16_e11_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage2,chain_17_e12_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage2,chain_18_e13_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_19_e13_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,1,1,0,,
gpt-5.4-mini,stage2,chain_20_e14_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_21_e15_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage2,chain_22_e16_python_simplehttpserver_network_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_23_e17_python_simplehttpserver_network_chain_stage2,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage2,chain_24_e18_cmdexe_other_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage2,chain_27_e19_dns_packet_capture_batch_chain_stage2,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage3,chain_03_e02_dns_packet_capture_batch_chain_stage3,True,True,True,True,True,True,0,0,0,0,0,0,0,5,5,,
gpt-5.4-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,5,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_08_e06_sublime_python_script_execution_chain_stage3,True,True,True,True,True,True,0,0,0,0,0,0,0,4,4,,
gpt-5.4-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_11_e07_sublime_python_script_execution_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_12_e08_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage3,chain_13_e09_dns_packet_capture_batch_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_14_e09_python_simplehttpserver_network_chain_stage3,True,True,False,False,True,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_15_e10_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,5,6,2,2,1,1,2,3,1,,
gpt-5.4-mini,stage3,chain_16_e11_python_simplehttpserver_network_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_17_e12_python_simplehttpserver_network_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_18_e13_dns_packet_capture_batch_chain_stage3,True,True,False,False,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_19_e13_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,1,1,0,,
gpt-5.4-mini,stage3,chain_20_e14_dns_packet_capture_batch_chain_stage3,True,True,True,True,True,True,0,0,0,0,0,0,0,5,5,,
gpt-5.4-mini,stage3,chain_21_e15_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage3,chain_22_e16_python_simplehttpserver_network_chain_stage3,True,True,False,True,False,False,,,,,,,,,,,
gpt-5.4-mini,stage3,chain_23_e17_python_simplehttpserver_network_chain_stage3,True,True,True,True,True,True,6,6,2,2,1,1,2,2,0,,
gpt-5.4-mini,stage3,chain_24_e18_cmdexe_other_chain_stage3,True,True,False,False,True,False,,,,,,,,,,,
