stage,framework_group,run_count,chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
stage1,collection_or_tool_invocation,8,5,25,51,21,25,0.84,21,51,0.4117647058823529,21,25,0.84
stage1,command_shell_execution,3,2,7,22,5,7,0.7142857142857143,5,22,0.22727272727272727,5,7,0.7142857142857143
stage1,network_service_behavior,18,13,36,101,34,36,0.9444444444444444,34,101,0.33663366336633666,34,36,0.9444444444444444
stage1,persistence_registry_run_key,2,1,6,8,3,6,0.5,3,8,0.375,3,6,0.5
stage1,script_execution_chain,4,2,32,35,24,32,0.75,24,35,0.6857142857142857,24,32,0.75
stage2,collection_or_tool_invocation,8,5,25,51,18,25,0.72,18,51,0.35294117647058826,18,25,0.72
stage2,command_shell_execution,3,2,7,25,5,7,0.7142857142857143,5,25,0.2,5,7,0.7142857142857143
stage2,network_service_behavior,17,13,34,102,33,34,0.9705882352941176,33,102,0.3235294117647059,33,34,0.9705882352941176
stage2,persistence_registry_run_key,2,1,6,9,6,6,1.0,6,9,0.6666666666666666,6,6,1.0
stage2,script_execution_chain,4,2,32,36,25,32,0.78125,25,36,0.6944444444444444,25,32,0.78125
stage3,collection_or_tool_invocation,8,5,25,60,16,25,0.64,16,60,0.26666666666666666,16,25,0.64
stage3,command_shell_execution,3,2,7,19,7,7,1.0,7,19,0.3684210526315789,7,7,1.0
stage3,network_service_behavior,17,13,34,103,33,34,0.9705882352941176,33,103,0.32038834951456313,33,34,0.9705882352941176
stage3,persistence_registry_run_key,2,1,6,8,6,6,1.0,6,8,0.75,6,6,1.0
stage3,script_execution_chain,4,2,32,38,22,32,0.6875,22,38,0.5789473684210527,22,32,0.6875
