reviewed_at_utc,replicate,model,stage,instance_id,chain_id,run_json,gold_file,evaluation_unit,format_failure_note,review1_pass,review2_pass,two_review_adoptable,gold_step_count,candidate_step_count,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,reviewer_a_source,reviewer_b_source,review_summary,chain_type,framework_group,adjudication_pass,adjudication_rule
2026-06-14T01:09:28.970435+00:00,replicate_01,gpt-5.5,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage1/chain_04_e03_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,5,2,2,1.0,2,5,0.4,2,2,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Recovered DNS chain includes explorer->cmd /c start_dns_logs.bat, then tshark/dumpcap with non-alert evidence. Gold 2 steps match; tshark/dumpcap/file-write actions are extra candidates.",dns_packet_capture_batch_chain,collection_or_tool_invocation,,
2026-06-14T01:09:28.970435+00:00,replicate_01,gpt-5.5,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage1/chain_05_e03_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,4,2,2,1.0,2,4,0.5,2,2,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Python PID2760 SimpleHTTPServer start and ACTION_CONNECTION_LISTEN are supported by cbc-edr/cbc-ngav non-alert telemetry and match both gold steps. Parent creation and file/module activity are extra candidates.",python_simplehttpserver_network_chain,network_service_behavior,,
2026-06-14T01:09:28.970435+00:00,replicate_01,gpt-5.5,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage2/chain_01_e01_dns_packet_capture_batch_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,3,9,3,3,1.0,3,9,0.3333333333333333,3,3,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Text separates three cmd.exe trees. PID3344 start_dns_logs.bat, explorer parent, and tshark child are supported by Sysmon/non-alert telemetry and match all 3 gold steps; HTTP/Python trees are extra candidates.",dns_packet_capture_batch_chain,collection_or_tool_invocation,,
2026-06-14T01:09:28.970435+00:00,replicate_01,gpt-5.5,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage2/chain_05_e03_python_simplehttpserver_network_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,5,2,2,1.0,2,5,0.4,2,2,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Text recovers cmd->python PID2760, python -m SimpleHTTPServer, file read/execute, and network listen with non-alert evidence. Both gold steps match; CBC alert is not used as a standalone hit basis.",python_simplehttpserver_network_chain,network_service_behavior,,
2026-06-14T01:09:28.970435+00:00,replicate_01,gpt-5.5,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage3/chain_04_e03_dns_packet_capture_batch_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,8,2,2,1.0,2,8,0.25,2,2,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Final text includes both SimpleHTTPServer and DNS capture chains. DNS side matches explorer->cmd /c start_dns_logs.bat for both gold steps; python/tshark/dumpcap/file actions are extra candidates.",dns_packet_capture_batch_chain,collection_or_tool_invocation,,
2026-06-14T01:10:21.012258+00:00,replicate_01,gpt-5.5,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage1/chain_01_e01_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,3,8,3,3,1.0,3,8,0.375,3,3,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"A/B conflict resolved conservatively. format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: DNS chain includes explorer->cmd /c start_dns_logs.bat and cmd->tshark with non-alert evidence, matching all 3 gold steps. dumpcap/pcap and HTTP-server attempt are / format failure: output_text is a Responses API content block Python literal, not formal JSON/code_steps. Salvaged text states explorer/cmd start_dns_logs, cmd executing the batch, and cmd spawning tshark with non-alert Sysmon/CBC evidence; extra HTTP/DNS/browser claims reduce precision.",dns_packet_capture_batch_chain,collection_or_tool_invocation,True,"conservative: max(candidate_step_count), min(hit counts)"
2026-06-14T01:10:21.012258+00:00,replicate_01,gpt-5.5,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage1/chain_02_e01_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,5,0,2,0.0,0,5,0.0,0,2,0.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"A/B conflict resolved conservatively. format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: PID720 python -m SimpleHTTPServer with run_http_server.bat parent evidence matches C02-S01. Text denies network/listen for PID720 and maps listen to PID3396, so C0 / format failure: output_text is a Responses API content block Python literal, not formal JSON/code_steps. Salvaged text selects PID 3396 from an interactive cmd and network listen evidence; it does not align with the gold run_http_server.bat parent/time/process identity for chain_02.",python_simplehttpserver_network_chain,network_service_behavior,True,"conservative: max(candidate_step_count), min(hit counts)"
2026-06-14T01:10:21.012258+00:00,replicate_01,gpt-5.5,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage2/chain_02_e01_python_simplehttpserver_network_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,11,1,2,0.5,1,11,0.09090909090909091,1,2,0.5,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"A/B conflict resolved conservatively. format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: PID720 and PID3396 are both asserted. PID720 python -m SimpleHTTPServer with run_http_server.bat parent evidence matches C02-S01, but network/listen is attributed  / format failure: output_text is a Responses API content block Python literal, not formal JSON/code_steps. Salvaged text includes the gold PID 720 python -m SimpleHTTPServer launch from run_http_server.bat, but says that instance had no network evidence and mixes in a separate PID 3396 listen chain.",python_simplehttpserver_network_chain,network_service_behavior,True,"conservative: max(candidate_step_count), min(hit counts)"
2026-06-14T01:10:21.012258+00:00,replicate_01,gpt-5.5,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage2/chain_04_e03_dns_packet_capture_batch_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,2,6,2,2,1.0,2,6,0.3333333333333333,2,2,1.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"A/B conflict resolved conservatively. format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Observed-only chain states explorer parent, cmd /c start_dns_logs.bat, cmd file create, tshark spawn, and dumpcap spawn/write. Gold 2 steps match; capture/file act / format failure: output_text is a Responses API content block Python literal, not formal JSON/code_steps. Salvaged text supports the cmd.exe start_dns_logs execution with explorer parent evidence and non-alert CBC telemetry; tshark/dumpcap/file-create claims are extra.",dns_packet_capture_batch_chain,collection_or_tool_invocation,True,"conservative: max(candidate_step_count), min(hit counts)"
2026-06-14T01:10:21.012258+00:00,replicate_01,gpt-5.5,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_gpt55_low_3rep_20260613/replicate_01/runs/gpt-5.5/stage3/chain_01_e01_dns_packet_capture_batch_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,salvage_raw_text_behavior_plus_evidence_step,正式出力契約のJSON/code_stepsではないため、本文から読み取れる行動・証跡だけをCodexが手動採点した。,True,True,True,3,5,0,3,0.0,0,5,0.0,0,3,0.0,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_a_batch_20260614T010234Z_12.jsonl,data/current_experiment/scores/formal_23_chain_gpt55_low_salvage_20260614/reviewer_outputs/reviewer_b_batch_20260614T010234Z_12.jsonl,"A/B conflict resolved conservatively. format failure: output_text is a Responses API content-block Python-literal string, not formal JSON/code_steps. Salvage raw-text review: Final recovered chain is cmd PID1844 to python SimpleHTTPServer/listen, not the gold start_dns_logs.bat/tshark DNS capture chain. Non-alert evidence exists but no  / format failure: output_text is a Responses API content block Python literal, not formal JSON/code_steps. Salvaged text reconstructs a different cmd/python SimpleHTTPServer/listen chain around PID 1844/3396 and does not substantively cover the gold start_dns_logs/tshark chain.",dns_packet_capture_batch_chain,collection_or_tool_invocation,True,"conservative: max(candidate_step_count), min(hit counts)"
