dataset_label,chain_type,run_count,chain_count,evaluable_chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
gpt-4.1-mini_2complete_reps,cmdexe_other_chain,12,2,2,30,32,0,30,0.000,0,32,0.000,0.000,0,30,0.000
gpt-4.1-mini_2complete_reps,discord_run_key_registry_chain,6,1,1,18,12,0,18,0.000,0,12,0.000,0.000,0,18,0.000
gpt-4.1-mini_2complete_reps,dns_packet_capture_batch_chain,30,5,5,90,86,4,90,0.044,4,86,0.047,0.045,4,90,0.044
gpt-4.1-mini_2complete_reps,python_simplehttpserver_network_chain,78,13,13,156,208,38,156,0.244,38,208,0.183,0.209,38,156,0.244
gpt-4.1-mini_2complete_reps,sublime_python_script_execution_chain,12,2,2,96,31,6,96,0.062,6,31,0.194,0.094,5,96,0.052
gpt-5.4-mini_2complete_reps,cmdexe_other_chain,12,2,2,30,42,11,30,0.367,11,42,0.262,0.306,11,30,0.367
gpt-5.4-mini_2complete_reps,discord_run_key_registry_chain,6,1,1,18,16,5,18,0.278,5,16,0.312,0.294,5,18,0.278
gpt-5.4-mini_2complete_reps,dns_packet_capture_batch_chain,30,5,5,90,99,8,90,0.089,8,99,0.081,0.085,8,90,0.089
gpt-5.4-mini_2complete_reps,python_simplehttpserver_network_chain,78,13,13,156,215,89,156,0.571,89,215,0.414,0.480,89,156,0.571
gpt-5.4-mini_2complete_reps,sublime_python_script_execution_chain,12,2,2,96,38,9,96,0.094,9,38,0.237,0.134,9,96,0.094
gpt-5.5_low_1complete_rep,cmdexe_other_chain,6,2,2,15,0,0,15,0.000,0,0,NA,NA,0,15,0.000
gpt-5.5_low_1complete_rep,discord_run_key_registry_chain,3,1,1,9,0,0,9,0.000,0,0,NA,NA,0,9,0.000
gpt-5.5_low_1complete_rep,dns_packet_capture_batch_chain,15,5,5,45,0,0,45,0.000,0,0,NA,NA,0,45,0.000
gpt-5.5_low_1complete_rep,python_simplehttpserver_network_chain,39,13,13,78,0,0,78,0.000,0,0,NA,NA,0,78,0.000
gpt-5.5_low_1complete_rep,sublime_python_script_execution_chain,6,2,2,48,0,0,48,0.000,0,0,NA,NA,0,48,0.000
