dataset_label,stage,stage_label,framework_group,run_count,chain_count,evaluable_chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
gpt-4.1-mini_2complete_reps,stage1,alert_clue,collection_or_tool_invocation,10,5,5,30,32,1,30,0.033,1,32,0.031,0.032,1,30,0.033
gpt-4.1-mini_2complete_reps,stage1,alert_clue,command_shell_execution,4,2,2,10,14,0,10,0.000,0,14,0.000,0.000,0,10,0.000
gpt-4.1-mini_2complete_reps,stage1,alert_clue,network_service_behavior,26,13,13,52,70,19,52,0.365,19,70,0.271,0.311,19,52,0.365
gpt-4.1-mini_2complete_reps,stage1,alert_clue,persistence_registry_run_key,2,1,1,6,8,0,6,0.000,0,8,0.000,0.000,0,6,0.000
gpt-4.1-mini_2complete_reps,stage1,alert_clue,script_execution_chain,4,2,2,32,17,2,32,0.062,2,17,0.118,0.082,1,32,0.031
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,collection_or_tool_invocation,10,5,5,30,31,0,30,0.000,0,31,0.000,0.000,0,30,0.000
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,command_shell_execution,4,2,2,10,14,0,10,0.000,0,14,0.000,0.000,0,10,0.000
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,network_service_behavior,26,13,13,52,90,10,52,0.192,10,90,0.111,0.141,10,52,0.192
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,persistence_registry_run_key,2,1,1,6,0,0,6,0.000,0,0,NA,NA,0,6,0.000
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,script_execution_chain,4,2,2,32,5,2,32,0.062,2,5,0.400,0.108,2,32,0.062
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,collection_or_tool_invocation,10,5,5,30,23,3,30,0.100,3,23,0.130,0.113,3,30,0.100
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,command_shell_execution,4,2,2,10,4,0,10,0.000,0,4,0.000,0.000,0,10,0.000
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,network_service_behavior,26,13,13,52,48,9,52,0.173,9,48,0.188,0.180,9,52,0.173
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,1,6,4,0,6,0.000,0,4,0.000,0.000,0,6,0.000
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,script_execution_chain,4,2,2,32,9,2,32,0.062,2,9,0.222,0.098,2,32,0.062
gpt-5.4-mini_2complete_reps,stage1,alert_clue,collection_or_tool_invocation,10,5,5,30,28,0,30,0.000,0,28,0.000,0.000,0,30,0.000
gpt-5.4-mini_2complete_reps,stage1,alert_clue,command_shell_execution,4,2,2,10,9,0,10,0.000,0,9,0.000,0.000,0,10,0.000
gpt-5.4-mini_2complete_reps,stage1,alert_clue,network_service_behavior,26,13,13,52,75,24,52,0.462,24,75,0.320,0.378,24,52,0.462
gpt-5.4-mini_2complete_reps,stage1,alert_clue,persistence_registry_run_key,2,1,1,6,4,0,6,0.000,0,4,0.000,0.000,0,6,0.000
gpt-5.4-mini_2complete_reps,stage1,alert_clue,script_execution_chain,4,2,2,32,8,0,32,0.000,0,8,0.000,0.000,0,32,0.000
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,collection_or_tool_invocation,10,5,5,30,27,3,30,0.100,3,27,0.111,0.105,3,30,0.100
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,command_shell_execution,4,2,2,10,19,7,10,0.700,7,19,0.368,0.483,7,10,0.700
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,network_service_behavior,26,13,13,52,71,34,52,0.654,34,71,0.479,0.553,34,52,0.654
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,persistence_registry_run_key,2,1,1,6,7,2,6,0.333,2,7,0.286,0.308,2,6,0.333
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,script_execution_chain,4,2,2,32,13,4,32,0.125,4,13,0.308,0.178,4,32,0.125
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,collection_or_tool_invocation,10,5,5,30,44,5,30,0.167,5,44,0.114,0.135,5,30,0.167
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,command_shell_execution,4,2,2,10,14,4,10,0.400,4,14,0.286,0.333,4,10,0.400
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,network_service_behavior,26,13,13,52,69,31,52,0.596,31,69,0.449,0.512,31,52,0.596
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,1,6,5,3,6,0.500,3,5,0.600,0.545,3,6,0.500
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,script_execution_chain,4,2,2,32,17,5,32,0.156,5,17,0.294,0.204,5,32,0.156
gpt-5.5_low_1complete_rep,stage1,alert_clue,collection_or_tool_invocation,5,5,5,15,0,0,15,0.000,0,0,NA,NA,0,15,0.000
gpt-5.5_low_1complete_rep,stage1,alert_clue,command_shell_execution,2,2,2,5,0,0,5,0.000,0,0,NA,NA,0,5,0.000
