comparison_scope,dataset_label,scoring_mode,framework_group,run_count,chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,adjudicated_count
full_available,gpt-4.1-mini_2rep_strict,strict_json,collection_or_tool_invocation,30,5,90,86,4,90,0.044444444444444446,4,86,0.046511627906976744,0.045454545454545456,4,90,0.044444444444444446,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,command_shell_execution,12,2,30,32,0,30,0.0,0,32,0.0,0.0,0,30,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,network_service_behavior,78,13,156,208,38,156,0.24358974358974358,38,208,0.18269230769230768,0.2087912087912088,38,156,0.24358974358974358,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,persistence_registry_run_key,6,1,18,12,0,18,0.0,0,12,0.0,0.0,0,18,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,script_execution_chain,12,2,96,31,6,96,0.0625,6,31,0.1935483870967742,0.09448818897637795,5,96,0.052083333333333336,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,collection_or_tool_invocation,30,5,90,99,8,90,0.08888888888888889,8,99,0.08080808080808081,0.08465608465608467,8,90,0.08888888888888889,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,command_shell_execution,12,2,30,42,11,30,0.36666666666666664,11,42,0.2619047619047619,0.3055555555555555,11,30,0.36666666666666664,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,network_service_behavior,78,13,156,215,89,156,0.5705128205128205,89,215,0.413953488372093,0.4797843665768194,89,156,0.5705128205128205,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,persistence_registry_run_key,6,1,18,16,5,18,0.2777777777777778,5,16,0.3125,0.29411764705882354,5,18,0.2777777777777778,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,script_execution_chain,12,2,96,38,9,96,0.09375,9,38,0.23684210526315788,0.13432835820895525,9,96,0.09375,0
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,collection_or_tool_invocation,24,5,75,162,55,75,0.7333333333333333,55,162,0.3395061728395062,0.46413502109704635,55,75,0.7333333333333333,14
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,command_shell_execution,9,2,21,66,17,21,0.8095238095238095,17,66,0.25757575757575757,0.39080459770114945,17,21,0.8095238095238095,7
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,network_service_behavior,52,13,104,306,100,104,0.9615384615384616,100,306,0.32679738562091504,0.4878048780487804,100,104,0.9615384615384616,49
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,persistence_registry_run_key,6,1,18,25,15,18,0.8333333333333334,15,25,0.6,0.6976744186046512,15,18,0.8333333333333334,5
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,script_execution_chain,12,2,96,109,71,96,0.7395833333333334,71,109,0.6513761467889908,0.6926829268292682,71,96,0.7395833333333334,8
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,collection_or_tool_invocation,24,5,75,0,0,75,0.0,0,0,,,0,75,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,command_shell_execution,9,2,21,0,0,21,0.0,0,0,,,0,21,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,network_service_behavior,52,13,104,0,0,104,0.0,0,0,,,0,104,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,persistence_registry_run_key,6,1,18,0,0,18,0.0,0,0,,,0,18,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,script_execution_chain,12,2,96,0,0,96,0.0,0,0,,,0,96,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,collection_or_tool_invocation,15,5,45,34,3,45,0.06666666666666667,3,34,0.08823529411764706,0.0759493670886076,3,45,0.06666666666666667,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,command_shell_execution,6,2,15,19,0,15,0.0,0,19,0.0,0.0,0,15,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,network_service_behavior,39,13,78,109,26,78,0.3333333333333333,26,109,0.23853211009174313,0.27807486631016043,26,78,0.3333333333333333,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,persistence_registry_run_key,3,1,9,6,0,9,0.0,0,6,0.0,0.0,0,9,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,script_execution_chain,6,2,48,19,6,48,0.125,6,19,0.3157894736842105,0.1791044776119403,5,48,0.10416666666666667,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,collection_or_tool_invocation,15,5,45,61,4,45,0.08888888888888889,4,61,0.06557377049180328,0.07547169811320756,4,45,0.08888888888888889,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,command_shell_execution,6,2,15,23,8,15,0.5333333333333333,8,23,0.34782608695652173,0.4210526315789474,8,15,0.5333333333333333,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,network_service_behavior,39,13,78,111,47,78,0.6025641025641025,47,111,0.42342342342342343,0.4973544973544973,47,78,0.6025641025641025,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,persistence_registry_run_key,3,1,9,6,2,9,0.2222222222222222,2,6,0.3333333333333333,0.26666666666666666,2,9,0.2222222222222222,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,script_execution_chain,6,2,48,21,4,48,0.08333333333333333,4,21,0.19047619047619047,0.11594202898550725,4,48,0.08333333333333333,0
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,collection_or_tool_invocation,15,5,45,98,33,45,0.7333333333333333,33,98,0.336734693877551,0.4615384615384615,33,45,0.7333333333333333,9
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,command_shell_execution,6,2,15,46,13,15,0.8666666666666667,13,46,0.2826086956521739,0.4262295081967213,13,15,0.8666666666666667,4
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,network_service_behavior,39,13,78,234,74,78,0.9487179487179487,74,234,0.3162393162393162,0.47435897435897434,74,78,0.9487179487179487,36
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,persistence_registry_run_key,3,1,9,11,6,9,0.6666666666666666,6,11,0.5454545454545454,0.6,6,9,0.6666666666666666,2
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,script_execution_chain,6,2,48,54,32,48,0.6666666666666666,32,54,0.5925925925925926,0.627450980392157,32,48,0.6666666666666666,4
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,collection_or_tool_invocation,15,5,45,0,0,45,0.0,0,0,,,0,45,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,command_shell_execution,6,2,15,0,0,15,0.0,0,0,,,0,15,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,network_service_behavior,39,13,78,0,0,78,0.0,0,0,,,0,78,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,persistence_registry_run_key,3,1,9,0,0,9,0.0,0,0,,,0,9,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,script_execution_chain,6,2,48,0,0,48,0.0,0,0,,,0,48,0.0,0
