pair_id,scenario_group,chain_id,model,stage,instance_id,elapsed_seconds,chief_llm_api_call_count,chief_input_tokens,chief_output_tokens,chief_cached_input_tokens,chief_total_tokens,chief_llm_api_duration_seconds_sum,chief_estimated_cost_usd,chief_cross_agent_tool_call_count,investigator_llm_api_call_count,investigator_input_tokens,investigator_output_tokens,investigator_cached_input_tokens,investigator_total_tokens,investigator_llm_api_duration_seconds_sum,investigator_estimated_cost_usd,investigator_cross_agent_tool_call_count,sql_qa_llm_api_call_count,sql_qa_input_tokens,sql_qa_output_tokens,sql_qa_cached_input_tokens,sql_qa_total_tokens,sql_qa_llm_api_duration_seconds_sum,sql_qa_estimated_cost_usd,sql_qa_cross_agent_tool_call_count,total_llm_api_call_count,total_input_tokens,total_output_tokens,total_cached_input_tokens,total_total_tokens,total_llm_api_duration_seconds_sum,total_estimated_cost_usd,total_cross_agent_tool_call_count,total_cross_agent_tool_duration_seconds_sum,total_max_tool_duration_seconds,total_chief_lead_count,total_chief_unique_lead_count,total_investigator_question_count,total_investigator_unique_question_count,total_sql_query_count,total_sql_unique_query_count,total_lead_guard_trigger_count,audit_status
normal_chain10_gpt41,normal,chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,655.406,7,32367,4741,22144,37108,64.126,0.0138892,5,37,210324,14164,169344,224488,178.781,0.0559888,40,148,468196,21210,287232,489406,311.855,0.1350448,118,192,710887,40115,478720,751002,554.762,0.2049228,163,1087.11,330.468,5,5,40,40,106,106,1,PASS
normal_chain10_gpt41,normal,chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,234.266,7,34351,2170,16384,36521,30.906,0.0122972,7,17,39992,5172,23936,45164,63.066,0.0170912,14,39,96914,4799,45824,101713,72.502,0.0326968,53,63,171257,12141,86144,183398,166.474,0.0620852,74,394.4,71.172,7,7,14,14,29,28,0,PASS
normal_chain10_gpt41,normal,chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,452.625,4,13523,3427,6016,16950,43.156,0.0090876,1,17,111633,6680,90368,118313,106.595,0.0282308,21,79,204696,9435,131328,214131,171.017,0.057576,64,100,329852,19542,227712,349394,320.768,0.0948944,86,805.17,396.797,1,1,21,21,63,62,1,PASS
attack_s4pt03_gpt41,attack,s4_pt_03_mshta_c1,gpt-4.1-mini,stage1,s4_pt_03_mshta_c1_stage1,678.796,7,40146,3631,25472,43777,48.0,0.0142264,8,42,234575,15911,173056,250486,224.817,0.0673708,55,147,438253,25092,202112,463345,376.182,0.1548148,128,196,712974,44634,400640,757608,649.014,0.236412,191,988.765,260.765,8,8,55,55,109,105,1,PASS
attack_s4pt03_gpt41,attack,s4_pt_03_mshta_c1,gpt-4.1-mini,stage2,s4_pt_03_mshta_c1_stage2,20.672,4,9523,608,4096,10131,10.985,0.0035532,1,2,3824,166,1792,3990,3.063,0.0012576,1,2,3823,137,1792,3960,2.781,0.0012108,1,8,17170,911,7680,18081,16.845,0.0060216,3,8.703,5.906,1,1,1,1,1,1,0,PASS
attack_s4pt03_gpt41,attack,s4_pt_03_mshta_c1,gpt-4.1-mini,stage3,s4_pt_03_mshta_c1_stage3,1361.328,11,105167,6093,63104,111260,80.516,0.0328844,16,103,603628,37481,472320,641109,533.831,0.1597248,122,336,1392861,43804,393472,1436665,728.644,0.5091892,239,450,2101656,87378,928896,2189034,1343.038,0.7017984,377,2020.744,260.953,16,16,122,122,208,208,4,PASS
normal_chain02_gpt54,normal,chain_02_e01_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,177.782,7,41969,3831,24192,45800,23.203,0.03238665,4,12,34551,5508,16256,40059,38.782,0.03972645,9,37,164608,10716,116224,175324,81.702,0.0932268,30,56,241128,20055,156672,261183,143.671,0.1653399,43,292.737,51.125,4,4,9,9,30,30,0,PASS
normal_chain02_gpt54,normal,chain_02_e01_python_simplehttpserver_network_chain,gpt-5.4-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,284.5,6,42105,5131,22016,47236,27.25,0.03980745,4,13,41920,7055,22144,48975,46.641,0.0482403,9,51,408632,15222,313216,423854,118.835,0.1635522,49,70,492657,27408,357376,520065,192.726,0.25159995,62,533.512,123.047,4,4,9,9,47,47,0,PASS
normal_chain02_gpt54,normal,chain_02_e01_python_simplehttpserver_network_chain,gpt-5.4-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,323.453,6,42645,4858,22528,47503,30.625,0.03863835,5,18,61858,8002,33408,69860,56.546,0.0598521,16,78,408877,25395,293504,434272,192.355,0.22282005,78,102,513380,38255,349440,551635,279.526,0.3213105,99,462.284,90.578,5,5,16,16,76,76,0,PASS
attack_s3pt01_gpt54,attack,s3_pt_01_word_document_processing,gpt-5.4-mini,stage1,s3_pt_01_word_document_processing_stage1,184.937,5,37025,4791,16768,41816,24.564,0.03800985,3,10,43395,7085,19200,50480,41.143,0.05146875,8,30,231950,17238,135680,249188,103.419,0.1599495,26,45,312370,29114,171648,341484,169.126,0.2494281,37,249.561,55.562,3,3,8,8,26,26,0,PASS
