phase,chain_id,run_count,gold_step_count,action,precision,complete_step,evidence,order
attack8,s3_pt_01_word_document_processing,3,6,0.7777777777777778,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
attack8,s3_pt_02_regsvr32_remote_sct,3,9,0.7777777777777778,0.4666666666666667,0.7777777777777778,0.6666666666666666,0.6666666666666666
attack8,s3_pt_03_regsvr32_long_chain,3,24,0.7083333333333334,0.6071428571428571,0.7083333333333334,0.7083333333333334,0.5714285714285714
attack8,s3_pt_04_powershell_mid_chain,3,21,0.8888888888888888,0.5656565656565656,0.8571428571428571,0.9047619047619048,0.7777777777777778
attack8,s4_pt_01_word_w1,3,12,0.6388888888888888,0.45098039215686275,0.5833333333333334,0.5833333333333334,0.4444444444444444
attack8,s4_pt_02_word_w3,3,9,0.4444444444444444,0.25,0.4444444444444444,0.1111111111111111,0.16666666666666666
attack8,s4_pt_03_mshta_c1,2,18,0.5555555555555556,0.7692307692307693,0.5555555555555556,0.5555555555555556,0.4375
attack8,s4_pt_04_powershell_c1,2,14,0.42857142857142855,0.5454545454545454,0.42857142857142855,0.42857142857142855,0.3333333333333333
normal8,chain_02_e01_python_simplehttpserver_network_chain,3,9,1.0,0.8181818181818182,1.0,0.7777777777777778,1.0
normal8,chain_04_e03_dns_packet_capture_batch_chain,3,21,0.7301587301587301,0.8518518518518519,0.6666666666666666,0.6190476190476191,0.6666666666666666
normal8,chain_05_e03_python_simplehttpserver_network_chain,3,6,1.0,0.46153846153846156,1.0,1.0,1.0
normal8,chain_06_e04_python_simplehttpserver_network_chain,3,3,1.0,0.21428571428571427,1.0,1.0,
normal8,chain_09_e07_cmdexe_other_chain,3,3,1.0,0.15,1.0,1.0,
normal8,chain_10_e07_discord_run_key_registry_chain,3,6,0.8333333333333334,0.21739130434782608,0.8333333333333334,0.6666666666666666,0.6666666666666666
normal8,chain_11_e07_sublime_python_script_execution_chain,3,9,0.8888888888888888,0.6153846153846154,0.6666666666666666,0.6666666666666666,1.0
normal8,chain_24_e18_cmdexe_other_chain,3,12,0.9444444444444444,0.6666666666666666,0.8333333333333334,0.9166666666666666,1.0
