phase,chain_id,claims,gold_target_precision,supported_component_precision,added_supported_claims
attack8,s3_pt_01_word_document_processing,4,0.25,0.5,1
attack8,s3_pt_02_regsvr32_remote_sct,3,1.0,1.0,0
attack8,s3_pt_03_regsvr32_long_chain,11,0.6363636363636364,0.9090909090909091,3
attack8,s3_pt_04_powershell_mid_chain,10,0.6,1.0,4
attack8,s4_pt_01_word_w1,8,0.375,0.375,0
attack8,s4_pt_02_word_w3,6,0.3333333333333333,0.5,1
attack8,s4_pt_03_mshta_c1,11,0.7272727272727273,0.7272727272727273,0
attack8,s4_pt_04_powershell_c1,4,0.75,1.0,1
normal8,chain_02_e01_python_simplehttpserver_network_chain,4,0.5,1.0,2
normal8,chain_04_e03_dns_packet_capture_batch_chain,7,0.5714285714285714,0.8571428571428571,2
normal8,chain_05_e03_python_simplehttpserver_network_chain,4,0.5,0.75,1
normal8,chain_06_e04_python_simplehttpserver_network_chain,2,0.5,1.0,1
normal8,chain_09_e07_cmdexe_other_chain,11,0.09090909090909091,0.6363636363636364,6
normal8,chain_10_e07_discord_run_key_registry_chain,9,0.2222222222222222,1.0,7
normal8,chain_11_e07_sublime_python_script_execution_chain,4,0.5,1.0,2
normal8,chain_24_e18_cmdexe_other_chain,4,1.0,1.0,0
