micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,event_offset_in_micro,event_offset_in_session,label,event_id,process,template,fields_json
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,1,370,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,2,371,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,3,372,0,4658,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=spoolsv.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""spoolsv.exe""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,4,373,0,4656,sysmon.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=sysmon.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""sysmon.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,5,374,0,4663,sysmon.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=sysmon.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""sysmon.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,6,375,0,4658,sysmon.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=sysmon.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""sysmon.exe""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,7,376,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,8,377,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,9,378,0,4658,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=spoolsv.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""spoolsv.exe""}"
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,10,379,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,1,320,0,4658,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=tpautoconnsvc.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""tpautoconnsvc.exe""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,2,321,0,4656,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnsvc.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnsvc.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,3,322,0,4663,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnsvc.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnsvc.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,4,323,0,4663,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnsvc.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnsvc.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,5,324,0,4690,-,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4690,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4690""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,6,325,0,4663,csrss.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=csrss.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""csrss.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,7,326,0,4658,csrss.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=csrss.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""csrss.exe""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,8,327,0,4660,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4660 | ProcessName=tpautoconnsvc.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4660"", ""ProcessName"": ""tpautoconnsvc.exe""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,9,328,0,4658,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=tpautoconnsvc.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""tpautoconnsvc.exe""}"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,10,329,0,4656,tpautoconnsvc.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnsvc.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnsvc.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,1,2800,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,2,2801,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,3,2802,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,4,2803,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,5,2804,0,4658,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=spoolsv.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""spoolsv.exe""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,6,2805,0,4656,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,7,2806,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,8,2807,0,4663,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=spoolsv.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""spoolsv.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,9,2808,0,4660,spoolsv.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4660 | ProcessName=spoolsv.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4660"", ""ProcessName"": ""spoolsv.exe""}"
