micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,attack_events,normal_events,total_events,score,top_processes,top_event_ids
1,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro07,96,3,7,0,10,10,9218450223.576645,"spoolsv.exe:7, sysmon.exe:3","4656:4, 4663:3, 4658:3"
2,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro02,96,3,2,0,10,10,8869773472.323963,"tpautoconnsvc.exe:7, csrss.exe:2, -:1","4658:3, 4663:3, 4656:2, 4690:1, 4660:1"
3,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro00,85,28,0,0,10,10,7223335846.678821,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
4,win-32-h1|aalsahee|20220719T1430Z|chunk240|micro00,93,240,0,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
5,win-32-h1|aalsahee|20220719T1430Z|chunk240|micro03,93,240,3,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
6,win-32-h1|aalsahee|20220719T1430Z|chunk226|micro01,98,226,1,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
7,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro03,99,101,3,0,10,10,7139584418.81725,repwmiutils.exe:10,"4656:4, 4663:4, 4658:2"
8,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro07,94,5,7,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
9,win-32-h1|win-32-h1$|20220719T1420Z|chunk183|micro03,95,183,3,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
10,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro02,99,101,2,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
11,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro04,99,101,4,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
12,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro04,100,163,4,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
13,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro08,100,163,8,0,10,10,7126052045.257497,repwmiutils.exe:10,"4658:4, 4656:3, 4663:3"
14,win-32-h1|aalsahee|20220719T1430Z|chunk240|micro02,93,240,2,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
15,win-32-h1|aalsahee|20220719T1430Z|chunk226|micro00,98,226,0,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
16,win-32-h1|aalsahee|20220719T1430Z|chunk240|micro01,93,240,1,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
17,win-32-h1|aalsahee|20220719T1430Z|chunk226|micro02,98,226,2,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
18,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro01,100,163,1,0,10,10,7063839302.615176,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
19,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro04,94,5,4,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
20,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro06,94,5,6,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
21,win-32-h1|win-32-h1$|20220719T1420Z|chunk183|micro00,95,183,0,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
22,win-32-h1|win-32-h1$|20220719T1420Z|chunk183|micro02,95,183,2,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
23,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro01,99,101,1,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
24,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro06,99,101,6,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
25,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro03,100,163,3,0,10,10,7030529984.414061,repwmiutils.exe:10,"4663:4, 4658:3, 4656:3"
26,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro07,97,160,7,0,10,10,6992312676.557314,wmiprvse.exe:10,"4663:4, 4658:3, 4656:3"
27,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro03,94,5,3,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
28,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro05,94,5,5,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
29,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro08,94,5,8,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
30,win-32-h1|win-32-h1$|20220719T1420Z|chunk183|micro01,95,183,1,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
