micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,attack_events,normal_events,total_events,score,top_processes,top_event_ids
1,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro01,42,761,1,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
2,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro04,42,761,4,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
3,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro03,43,234,3,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
4,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro06,43,234,6,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
5,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro09,43,234,9,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
6,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro02,44,231,2,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
7,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro05,44,231,5,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
8,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro03,45,50,3,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
9,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro06,45,50,6,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
10,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro09,45,50,9,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
11,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro02,46,742,2,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
12,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro05,46,742,5,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
13,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro08,46,742,8,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
14,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro00,47,5,0,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
15,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro04,47,5,4,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
16,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro07,47,5,7,0,10,10,7214255655.300923,tpautoconnect.exe:10,"4663:4, 4658:3, 4656:3"
