micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,event_offset_in_micro,event_offset_in_session,label,event_id,process,template,fields_json
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,1,33050,0,4658,csrss.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=csrss.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""csrss.exe""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,2,33051,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,3,33052,0,4656,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,4,33053,0,4663,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,5,33054,0,4658,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=tpautoconnect.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""tpautoconnect.exe""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,6,33055,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,7,33056,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,8,33057,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,9,33058,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,10,33059,0,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,1,32520,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,2,32521,0,4656,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,3,32522,0,4663,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,4,32523,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,5,32524,0,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,6,32525,0,4658,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=tpautoconnect.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""tpautoconnect.exe""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,7,32526,0,4656,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,8,32527,0,4663,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,9,32528,0,4658,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=tpautoconnect.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""tpautoconnect.exe""}"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,10,32529,0,4656,csrss.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=csrss.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""csrss.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,1,32550,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,2,32551,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,3,32552,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,4,32553,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,5,32554,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,6,32555,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,7,32556,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,8,32557,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,9,32558,0,4656,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,10,32559,0,4663,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,1,32570,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,2,32571,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,3,32572,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,4,32573,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,5,32574,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,6,32575,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,7,32576,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,8,32577,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,9,32578,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,10,32579,0,4656,tpautoconnect.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=tpautoconnect.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""tpautoconnect.exe"", ""ObjectType"": ""file""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,1,32470,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,2,32471,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,3,32472,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,4,32473,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,5,32474,1,4663,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4663 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4663"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,6,32475,0,4658,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4658 | ProcessName=payload.exe,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4658"", ""ProcessName"": ""payload.exe""}"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,7,32476,0,4656,payload.exe,Provider=microsoft-windows-security-auditing | Channel=Security | EventID=4656 | ProcessName=payload.exe | ObjectType=file,"{""Provider"": ""microsoft-windows-security-auditing"", ""Channel"": ""Security"", ""EventID"": ""4656"", ""ProcessName"": ""payload.exe"", ""ObjectType"": ""file""}"
