micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,attack_events,normal_events,total_events,score,top_processes,top_event_ids
1,win-32-h1|aalsahee|20220719T1430Z|chunk330|micro05,1,330,5,1,9,10,11395622069.699257,"payload.exe:6, tpautoconnect.exe:3, csrss.exe:1","4658:4, 4656:3, 4663:3"
2,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro02,3,325,2,0,10,10,10278585107.253395,"tpautoconnect.exe:6, payload.exe:3, csrss.exe:1","4656:4, 4658:3, 4663:3"
3,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro05,3,325,5,3,7,10,9893432616.505009,"payload.exe:8, tpautoconnect.exe:2","4656:4, 4663:4, 4658:2"
4,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro07,3,325,7,3,7,10,9893432616.505009,"payload.exe:9, tpautoconnect.exe:1","4656:4, 4658:3, 4663:3"
5,win-32-h1|aalsahee|20220719T1430Z|chunk324|micro07,8,324,7,3,7,10,9893432616.505009,"payload.exe:9, tpautoconnect.exe:1","4656:4, 4663:3, 4658:3"
6,win-32-h1|aalsahee|20220719T1430Z|chunk204|micro02,5,204,2,0,10,10,9559029010.546871,"tpautoconnect.exe:6, repmgr.exe:4","4663:4, 4658:3, 4656:3"
7,win-32-h1|aalsahee|20220719T1430Z|chunk244|micro08,6,244,8,0,10,10,9486381958.474821,"tpautoconnect.exe:7, explorer.exe:3","4656:4, 4658:3, 4663:3"
8,win-32-h1|aalsahee|20220719T1430Z|chunk325|micro08,3,325,8,1,9,10,8623055861.245031,"tpautoconnect.exe:5, payload.exe:5","4658:4, 4663:3, 4656:3"
9,win-32-h1|aalsahee|20220719T1430Z|chunk203|micro05,4,203,5,0,10,10,7986781912.653897,"tpautoconnect.exe:9, repmgr.exe:1","4656:4, 4663:3, 4658:3"
10,win-32-h1|aalsahee|20220719T1430Z|chunk203|micro07,4,203,7,0,10,10,7587739671.814433,"tpautoconnect.exe:9, winword.exe:1","4658:4, 4656:3, 4663:3"
