model,stage,instance_id,chain_id,chain_type,scenario_group,scenario_group_ja,excluded_non_alert_gold,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,source_path,dataset_label,source_set,framework_group,evaluation_unit,replicate,contract,run_json,source_score_path,reviewed_at_utc,gold_file,format_failure_note,review1_pass,review2_pass,two_review_adoptable,adjudication_note,candidate_step_count,normalized_candidate_step_count,reviewer_a_source,reviewer_b_source,review_summary,run_id,input_tokens,output_tokens,cached_input_tokens,reasoning_effort,run_path_in_handoff,local_price_estimated_cost_usd,completed_at_utc,call_total_usd,effective_cost_usd,cost_source,duration_seconds_from_runid_to_costlog
gpt-4.1-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,8,9,1,3,1,2,9,32,23,0.8888888888888888,0.3333333333333333,0.5,0.28125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T045629Z_chain_01_e01_dns_packet_capture_batch_chain_stage1_gpt-4.1-mini_official,38314,4054,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_01_e01_dns_packet_capture_batch_chain_stage1_run.json,0.021812,,,0.021812,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,1,2,0,1,4,18,14,0.5,0.5,0.0,0.2222222222222222,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T051810Z_chain_02_e01_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,43420,3936,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_02_e01_python_simplehttpserver_network_chain_stage1_run.json,0.023665600000000002,,,0.023665600000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,0,1,8,8,0,1.0,1.0,0.0,1.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T062158Z_chain_04_e03_dns_packet_capture_batch_chain_stage1_gpt-4.1-mini_official,8689,1774,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_04_e03_dns_packet_capture_batch_chain_stage1_run.json,0.006314,,,0.006314,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,1,1,0.0,0.0,0.0,0.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_05_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_05_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T063023Z_chain_05_e03_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,11172,1324,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_05_e03_python_simplehttpserver_network_chain_stage1_run.json,0.0065872000000000005,,,0.0065872000000000005,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,chain_06_e04_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,7,4,0.5,0.0,0.0,0.42857142857142855,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_06_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_06_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T063536Z_chain_06_e04_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,29065,1857,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_06_e04_python_simplehttpserver_network_chain_stage1_run.json,0.014597200000000001,,,0.014597200000000001,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,chain_07_e05_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,15,30,3,10,4,9,18,28,10,0.5,0.3,0.4444444444444444,0.6428571428571429,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_07_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,script_execution_chain,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_07_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T064756Z_chain_07_e05_sublime_python_script_execution_chain_stage1_gpt-4.1-mini_official,43618,4151,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_07_e05_sublime_python_script_execution_chain_stage1_run.json,0.0240888,,,0.0240888,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,chain_09_e07_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,17,14,0.5,0.0,0.0,0.17647058823529413,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_09_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,command_shell_execution,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_09_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T071911Z_chain_09_e07_cmdexe_other_chain_stage1_gpt-4.1-mini_official,28932,3569,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_09_e07_cmdexe_other_chain_stage1_run.json,0.017283200000000002,,,0.017283200000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,chain_10_e07_discord_run_key_registry_chain,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,False,2,9,0,3,0,2,2,16,14,0.2222222222222222,0.0,0.0,0.125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_10_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,persistence_registry_run_key,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_10_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T073149Z_chain_10_e07_discord_run_key_registry_chain_stage1_gpt-4.1-mini_official,46757,4567,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_10_e07_discord_run_key_registry_chain_stage1_run.json,0.026010000000000002,,,0.026010000000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,chain_11_e07_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,11,18,0,6,0,5,7,17,10,0.6111111111111112,0.0,0.0,0.4117647058823529,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_11_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,script_execution_chain,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_11_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T080133Z_chain_11_e07_sublime_python_script_execution_chain_stage1_gpt-4.1-mini_official,52389,4061,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_11_e07_sublime_python_script_execution_chain_stage1_run.json,0.027453200000000004,,,0.027453200000000004,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,chain_12_e08_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,1,2,1,1,6,12,6,0.8333333333333334,0.5,1.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_12_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_12_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T083421Z_chain_12_e08_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,7390,1713,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_12_e08_python_simplehttpserver_network_chain_stage1_run.json,0.0056968,,,0.0056968,local_price_estimate_no_cost_log,
