model,chain_id,replicate_count,mean_metric_sd,action_step_recall_sd,critical_evidence_recall_sd,behavior_sequence_order_sd,candidate_claim_precision_sd
gpt-4.1-mini,chain_12_e08_python_simplehttpserver_network_chain,3,0.324,0.306,0.441,0.385,0.165
gpt-4.1-mini,chain_18_e13_dns_packet_capture_batch_chain,3,0.324,0.309,0.347,0.509,0.132
gpt-4.1-mini,chain_05_e03_python_simplehttpserver_network_chain,3,0.288,0.357,0.289,0.333,0.174
gpt-4.1-mini,chain_23_e17_python_simplehttpserver_network_chain,3,0.272,0.289,0.347,0.192,0.262
gpt-5.4-mini,chain_02_e01_python_simplehttpserver_network_chain,3,0.260,0.111,0.255,0.509,0.165
gpt-4.1-mini,chain_15_e10_python_simplehttpserver_network_chain,3,0.250,0.170,0.255,0.385,0.190
gpt-5.4-mini,chain_19_e13_python_simplehttpserver_network_chain,3,0.245,0.257,0.289,0.385,0.048
gpt-4.1-mini,chain_06_e04_python_simplehttpserver_network_chain,3,0.233,0.111,0.192,0.192,0.438
gpt-5.4-mini,chain_05_e03_python_simplehttpserver_network_chain,3,0.233,0.160,0.192,0.385,0.194
gpt-4.1-mini,chain_24_e18_cmdexe_other_chain,3,0.231,0.299,0.111,0.289,0.225
gpt-5.4-mini,chain_04_e03_dns_packet_capture_batch_chain,3,0.231,0.140,0.441,0.192,0.150
gpt-5.4-mini,chain_09_e07_cmdexe_other_chain,3,0.229,0.195,0.333,0.333,0.056
gpt-4.1-mini,chain_25_e18_dns_packet_capture_batch_chain,3,0.213,0.321,0.170,0.289,0.075
gpt-4.1-mini,chain_22_e16_python_simplehttpserver_network_chain,3,0.209,0.179,0.255,0.385,0.016
gpt-5.4-mini,chain_18_e13_dns_packet_capture_batch_chain,3,0.205,0.140,0.333,0.192,0.156
gpt-4.1-mini,chain_04_e03_dns_packet_capture_batch_chain,3,0.201,0.116,0.255,0.333,0.102
gpt-5.4-mini,chain_14_e09_python_simplehttpserver_network_chain,3,0.195,0.225,0.167,0.333,0.057
gpt-5.4-mini,chain_25_e18_dns_packet_capture_batch_chain,3,0.192,0.299,0.294,0.096,0.078
gpt-4.1-mini,chain_16_e11_python_simplehttpserver_network_chain,3,0.191,0.140,0.255,0.000,0.369
gpt-5.4-mini,chain_15_e10_python_simplehttpserver_network_chain,3,0.179,0.167,0.167,0.192,0.189
gpt-4.1-mini,chain_02_e01_python_simplehttpserver_network_chain,3,0.171,0.179,0.255,0.192,0.060
gpt-4.1-mini,chain_17_e12_python_simplehttpserver_network_chain,3,0.170,0.147,0.192,0.192,0.146
gpt-5.4-mini,chain_16_e11_python_simplehttpserver_network_chain,3,0.158,0.192,0.192,0.192,0.056
gpt-5.4-mini,chain_24_e18_cmdexe_other_chain,3,0.152,0.098,0.111,0.255,0.145
gpt-4.1-mini,chain_21_e15_python_simplehttpserver_network_chain,3,0.150,0.170,0.167,0.192,0.070
gpt-5.4-mini,chain_21_e15_python_simplehttpserver_network_chain,3,0.147,0.167,0.167,0.192,0.064
gpt-5.4-mini,chain_26_e18_python_simplehttpserver_network_chain,3,0.140,0.140,0.000,0.333,0.087
gpt-4.1-mini,chain_14_e09_python_simplehttpserver_network_chain,3,0.139,0.147,0.167,0.000,0.241
gpt-5.4-mini,chain_11_e07_sublime_python_script_execution_chain,3,0.138,0.043,0.179,0.176,0.152
gpt-4.1-mini,chain_11_e07_sublime_python_script_execution_chain,3,0.133,0.109,0.195,0.115,0.112
gpt-5.4-mini,chain_17_e12_python_simplehttpserver_network_chain,3,0.133,0.085,0.167,0.192,0.087
gpt-5.4-mini,chain_07_e05_sublime_python_script_execution_chain,3,0.132,0.042,0.173,0.150,0.163
gpt-4.1-mini,chain_09_e07_cmdexe_other_chain,3,0.121,0.056,0.000,0.192,0.236
gpt-5.4-mini,chain_06_e04_python_simplehttpserver_network_chain,3,0.120,0.096,0.096,0.192,0.097
gpt-4.1-mini,chain_26_e18_python_simplehttpserver_network_chain,3,0.117,0.167,0.255,0.000,0.045
gpt-5.4-mini,chain_13_e09_dns_packet_capture_batch_chain,3,0.116,0.151,0.077,0.127,0.109
gpt-4.1-mini,chain_19_e13_python_simplehttpserver_network_chain,3,0.110,0.116,0.192,0.000,0.132
gpt-5.4-mini,chain_22_e16_python_simplehttpserver_network_chain,3,0.110,0.064,0.096,0.192,0.088
gpt-5.4-mini,chain_10_e07_discord_run_key_registry_chain,3,0.104,0.093,0.064,0.000,0.260
gpt-5.4-mini,chain_12_e08_python_simplehttpserver_network_chain,3,0.104,0.064,0.096,0.192,0.063
gpt-4.1-mini,chain_13_e09_dns_packet_capture_batch_chain,3,0.095,0.156,0.000,0.000,0.224
gpt-4.1-mini,chain_07_e05_sublime_python_script_execution_chain,3,0.087,0.183,0.038,0.086,0.041
gpt-5.4-mini,chain_01_e01_dns_packet_capture_batch_chain,3,0.076,0.043,0.231,0.000,0.028
gpt-4.1-mini,chain_10_e07_discord_run_key_registry_chain,3,0.065,0.021,0.128,0.000,0.110
gpt-4.1-mini,chain_01_e01_dns_packet_capture_batch_chain,3,0.050,0.037,0.111,0.000,0.051
gpt-5.4-mini,chain_23_e17_python_simplehttpserver_network_chain,3,0.000,0.000,0.000,0.000,0.000
