chain_id,chain_title,expected_behavior,chain_type,scenario_group,framework_group,model,run_count,replicate_count,stage_count,gold_step_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,overclaim_per_run,gold_subjects,gold_objects
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-4.1-mini,9,3,3,3,0.370,0.222,0.167,0.270,73,8.11,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe"
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.4-mini,9,3,3,3,0.790,0.407,0.667,0.380,44,4.89,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe"
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.5 low raw,3,1,3,3,0.667,0.667,0.667,0.400,36,12.00,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe"
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.370,0.222,0.111,0.171,97,10.78,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.889,0.722,0.556,0.534,34,3.78,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,0.889,1.000,0.667,0.615,20,6.67,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-4.1-mini,9,3,3,2,0.630,0.389,0.333,0.236,94,10.44,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.4-mini,9,3,3,2,0.870,0.500,0.444,0.347,49,5.44,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.435,26,8.67,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.463,0.333,0.333,0.309,56,6.22,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
