chain_id,chain_title,expected_behavior,model,stage,run_count,replicate_count,gold_step_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,overclaim_per_run
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage1,3,3,3,0.519,0.222,0.167,0.268,41,13.67
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage2,3,3,3,0.222,0.222,0.167,0.333,10,3.33
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage3,3,3,3,0.370,0.222,0.167,0.241,22,7.33
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage1,3,3,3,1.000,0.333,1.000,0.667,6,2.00
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage2,3,3,3,0.630,0.222,0.333,0.400,12,4.00
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage3,3,3,3,0.741,0.667,0.667,0.212,26,8.67
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage1,1,1,3,1.000,1.000,1.000,0.500,12,12.00
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage2,1,1,3,1.000,1.000,1.000,0.500,12,12.00
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage3,1,1,3,0.000,0.000,0.000,0.000,12,12.00
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.500,0.500,0.333,0.278,26,8.67
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.333,0.167,0.000,0.075,62,20.67
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.278,0.000,0.000,0.357,9,3.00
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.889,0.500,0.333,0.286,20,6.67
