chain_id,chain_title,expected_behavior,scenario_group,framework_group,gold_step_count,difficulty_label,g41_action_step_recall,g41_critical_evidence_recall,g41_behavior_sequence_order,g41_candidate_claim_precision,g41_overclaim_per_run,g54_action_step_recall,g54_critical_evidence_recall,g54_behavior_sequence_order,g54_candidate_claim_precision,g54_overclaim_per_run,g55raw_action_step_recall,g55raw_critical_evidence_recall,g55raw_behavior_sequence_order,g55raw_candidate_claim_precision,g55raw_overclaim_per_run,delta_g54_minus_g41_action,delta_g54_minus_g41_evidence,gold_subjects,gold_objects,interpretation
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,multi_step_tool_chain,collection_or_tool_invocation,3,hard_or_unstable,0.370,0.222,0.167,0.270,8.11,0.790,0.407,0.667,0.380,4.89,0.667,0.667,0.667,0.400,12.00,0.420,0.185,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. Even 5.4-mini struggles to tie the behavior to sufficient non-alert evidence, so this is a hard case. Precision/overclaim is a concern; the model tends to add nearby or extra claims."
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,moderate_reconstructable,0.370,0.222,0.111,0.171,10.78,0.889,0.722,0.556,0.534,3.78,0.889,1.000,0.667,0.615,6.67,0.519,0.500,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini the main behavior is usually recoverable, but order or precision still needs caution. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,multi_step_tool_chain,collection_or_tool_invocation,2,overclaim_prone,0.630,0.389,0.333,0.236,10.44,0.870,0.500,0.444,0.347,5.44,1.000,1.000,1.000,0.435,8.67,0.240,0.111,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat","Even 5.4-mini struggles to tie the behavior to sufficient non-alert evidence, so this is a hard case. Precision/overclaim is a concern; the model tends to add nearby or extra claims. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,moderate_reconstructable,0.463,0.333,0.333,0.309,6.22,0.907,0.889,0.778,0.562,3.89,1.000,1.000,1.000,0.667,4.00,0.444,0.556,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini this is a high-confidence reconstruction case: evidence and ordering are both strong. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,easy_or_well_reconstructed,0.444,0.222,0.111,0.247,6.44,0.889,0.889,0.889,0.667,2.44,1.000,1.000,1.000,0.659,5.00,0.445,0.667,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58199,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini this is a high-confidence reconstruction case: evidence and ordering are both strong. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,multi_step_tool_chain,script_execution_chain,10,hard_or_unstable,0.293,0.056,0.123,0.635,3.00,0.659,0.567,0.198,0.629,2.89,0.833,0.833,0.815,0.852,5.33,0.366,0.511,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. Even 5.4-mini struggles to tie the behavior to sufficient non-alert evidence, so this is a hard case."
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,explicit_execution_chain,command_shell_execution,2,moderate_reconstructable,0.278,0.000,0.111,0.197,5.44,0.796,0.667,0.667,0.500,2.78,0.667,0.667,0.667,0.538,4.00,0.518,0.667,discord.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"" | C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe""","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini the main behavior is usually recoverable, but order or precision still needs caution."
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,semantic_interpretation_chain,persistence_registry_run_key,3,hard_or_unstable,0.506,0.148,0.167,0.444,4.44,0.642,0.481,0.333,0.719,2.00,1.000,0.667,0.667,0.750,3.67,0.136,0.333,discord.exe -> reg.exe -> reg.exe,"C:\Windows\System32\reg.exe (query/add reg.exe child processes) | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord = ""C:\Users\aalsahee\AppData\Local\Discord\Update.exe --processStart Discord.exe""","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. Even 5.4-mini struggles to tie the behavior to sufficient non-alert evidence, so this is a hard case."
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,multi_step_tool_chain,script_execution_chain,6,moderate_reconstructable,0.549,0.204,0.200,0.520,5.33,0.809,0.704,0.600,0.655,3.33,0.944,0.944,0.800,0.806,4.67,0.260,0.500,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini the main behavior is usually recoverable, but order or precision still needs caution. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,moderate_reconstructable,0.593,0.333,0.556,0.493,3.89,0.963,0.944,0.889,0.558,4.22,1.000,1.000,1.000,0.700,4.00,0.370,0.611,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:39277,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini this is a high-confidence reconstruction case: evidence and ordering are both strong. Precision/overclaim is a concern; the model tends to add nearby or extra claims. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,multi_step_tool_chain,collection_or_tool_invocation,5,mixed,0.289,0.067,0.083,0.403,4.44,0.674,0.578,0.389,0.629,2.56,1.000,1.000,1.000,0.717,5.67,0.385,0.511,explorer.exe -> cmd.exe -> cmd.exe -> explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe | C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat","5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. Even 5.4-mini struggles to tie the behavior to sufficient non-alert evidence, so this is a hard case. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,moderate_reconstructable,0.444,0.167,0.000,0.301,5.67,0.704,0.667,0.667,0.543,4.78,1.000,1.000,1.000,0.667,4.00,0.260,0.500,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini the main behavior is usually recoverable, but order or precision still needs caution. Precision/overclaim is a concern; the model tends to add nearby or extra claims. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,easy_or_well_reconstructed,0.519,0.278,0.222,0.352,5.11,0.833,0.833,0.778,0.815,1.11,1.000,1.000,1.000,0.750,2.67,0.314,0.555,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:54869,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini this is a high-confidence reconstruction case: evidence and ordering are both strong. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,explicit_execution_chain,network_service_behavior,2,easy_or_well_reconstructed,0.463,0.278,0.333,0.366,5.00,0.889,0.889,0.889,0.719,1.78,1.000,1.000,1.000,0.706,3.33,0.426,0.611,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:51647,"5.4-mini improves substantially over 4.1-mini, especially on evidence/action recovery. For 5.4-mini this is a high-confidence reconstruction case: evidence and ordering are both strong. GPT-5.5 raw salvage recovers much of the content, but it remains a format-failed raw-text condition."
