instance_id,chain_id,stage,difficulty,host,focus_process,chain_type,scenario_group,scenario_group_ja,expected_behavior,episode_start_utc,episode_end_utc,source_window_ids,gold_chain_file
chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W01,by_chain/chain_01_e01_dns_packet_capture_batch_chain/chain_gold.json
chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W01,by_chain/chain_01_e01_dns_packet_capture_batch_chain/chain_gold.json
chain_01_e01_dns_packet_capture_batch_chain_stage3,chain_01_e01_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W01,by_chain/chain_01_e01_dns_packet_capture_batch_chain/chain_gold.json
chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W02,by_chain/chain_02_e01_python_simplehttpserver_network_chain/chain_gold.json
chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W02,by_chain/chain_02_e01_python_simplehttpserver_network_chain/chain_gold.json
chain_02_e01_python_simplehttpserver_network_chain_stage3,chain_02_e01_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,W02,by_chain/chain_02_e01_python_simplehttpserver_network_chain/chain_gold.json
chain_03_e02_dns_packet_capture_batch_chain_stage1,chain_03_e02_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:35:00Z,2022-07-15T20:40:00Z,W03,by_chain/chain_03_e02_dns_packet_capture_batch_chain/chain_gold.json
chain_03_e02_dns_packet_capture_batch_chain_stage2,chain_03_e02_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:35:00Z,2022-07-15T20:40:00Z,W03,by_chain/chain_03_e02_dns_packet_capture_batch_chain/chain_gold.json
chain_03_e02_dns_packet_capture_batch_chain_stage3,chain_03_e02_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:35:00Z,2022-07-15T20:40:00Z,W03,by_chain/chain_03_e02_dns_packet_capture_batch_chain/chain_gold.json
chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:55:00Z,2022-07-15T21:00:00Z,W05,by_chain/chain_04_e03_dns_packet_capture_batch_chain/chain_gold.json
