chain_id,episode_id,chain_type,chain_title,source_window_ids,focus_processes,chain_window_start_utc,chain_window_end_utc,alert_count,alert_names,gold_step_count,case_score_max,chain_gold_file
chain_01_e01_dns_packet_capture_batch_chain,E01,dns_packet_capture_batch_chain,DNS packet capture batch execution,W01,cmd.exe,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,5,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),3,15,by_chain/chain_01_e01_dns_packet_capture_batch_chain/chain_gold.json
chain_02_e01_python_simplehttpserver_network_chain,E01,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W02,python.exe,2022-07-15T13:15:00Z,2022-07-15T13:20:00Z,3,NOTICE,2,11,by_chain/chain_02_e01_python_simplehttpserver_network_chain/chain_gold.json
chain_03_e02_dns_packet_capture_batch_chain,E02,dns_packet_capture_batch_chain,DNS packet capture batch execution,W03,cmd.exe,2022-07-15T20:35:00Z,2022-07-15T20:40:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_03_e02_dns_packet_capture_batch_chain/chain_gold.json
chain_04_e03_dns_packet_capture_batch_chain,E03,dns_packet_capture_batch_chain,DNS packet capture batch execution,W05,cmd.exe,2022-07-15T20:55:00Z,2022-07-15T21:00:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_04_e03_dns_packet_capture_batch_chain/chain_gold.json
chain_05_e03_python_simplehttpserver_network_chain,E03,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W04,python.exe,2022-07-15T20:50:00Z,2022-07-15T20:55:00Z,1,NOTICE,2,11,by_chain/chain_05_e03_python_simplehttpserver_network_chain/chain_gold.json
chain_06_e04_python_simplehttpserver_network_chain,E04,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W06,python.exe,2022-07-16T13:05:00Z,2022-07-16T13:10:00Z,1,NOTICE,2,11,by_chain/chain_06_e04_python_simplehttpserver_network_chain/chain_gold.json
chain_07_e05_sublime_python_script_execution_chain,E05,sublime_python_script_execution_chain,Sublime-triggered Python script execution,W07; W08; W09; W10,cmd.exe; python.exe,2022-07-16T13:25:00Z,2022-07-16T13:35:00Z,9,Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),10,43,by_chain/chain_07_e05_sublime_python_script_execution_chain/chain_gold.json
chain_08_e06_sublime_python_script_execution_chain,E06,sublime_python_script_execution_chain,Sublime-triggered Python script execution,W11; W12,cmd.exe; python.exe,2022-07-16T13:45:00Z,2022-07-16T13:50:00Z,4,Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),4,19,by_chain/chain_08_e06_sublime_python_script_execution_chain/chain_gold.json
chain_09_e07_cmdexe_other_chain,E07,cmdexe_other_chain,cmd.exe alert behavior chain,W15,cmd.exe,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,4,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_09_e07_cmdexe_other_chain/chain_gold.json
chain_10_e07_discord_run_key_registry_chain,E07,discord_run_key_registry_chain,Discord Run key registry chain,W16,reg.exe,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,3,Discovery - Query Registry; Persistence - Regmod Run or Runonce Key Modification,3,15,by_chain/chain_10_e07_discord_run_key_registry_chain/chain_gold.json
