chain_id,episode_id,scenario_group,chain_type,chain_title,step_id,order,focus_process,subject,action,object,evidence_basis,source_window_id
chain_01_e01_dns_packet_capture_batch_chain,E01,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C01-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W01
chain_01_e01_dns_packet_capture_batch_chain,E01,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C01-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W01
chain_01_e01_dns_packet_capture_batch_chain,E01,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C01-S03,3,cmd.exe,cmd.exe,ログ収集系プロセスを派生させた,tshark.exe,CBC event childproc/object,W01
chain_02_e01_python_simplehttpserver_network_chain,E01,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C02-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W02
chain_02_e01_python_simplehttpserver_network_chain,E01,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C02-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,待受/通信先詳細は限定的,CBC event netconn,W02
chain_04_e03_dns_packet_capture_batch_chain,E03,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C04-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W05
chain_04_e03_dns_packet_capture_batch_chain,E03,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C04-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W05
chain_05_e03_python_simplehttpserver_network_chain,E03,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C05-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W04
chain_05_e03_python_simplehttpserver_network_chain,E03,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C05-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,待受/通信先詳細は限定的,CBC event netconn,W04
chain_06_e04_python_simplehttpserver_network_chain,E04,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C06-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W06
chain_06_e04_python_simplehttpserver_network_chain,E04,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C06-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:58199,CBC event netconn,W06
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S01,1,cmd.exe,plugin_host.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py""""",CBC alert / CBC event の parent_path と process_cmdline,W07
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S02,2,cmd.exe,cmd.exe,/cでPython実行コマンドを起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py""""",CBC alert / CBC event process_cmdline,W07
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S03,3,cmd.exe,cmd.exe,python.exeを子プロセスとして起動した,C:\Program Files\Sublime Text 3\helloworld.py,CBC event procstart childproc_name,W07
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S04,4,python.exe,cmd.exe,python.exeを起動した,C:\Program Files\Sublime Text 3\helloworld.py,CBC alert / CBC event parent_path,W08
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S05,5,python.exe,python.exe,Pythonスクリプトを実行した,C:\Program Files\Sublime Text 3\helloworld.py,process_cmdline,W08
