model,framework_group,run_count,chain_count,action_step_recall,action_step_recall_hits,action_step_recall_total,critical_evidence_recall,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,collection_or_tool_invocation,45,5,0.469,190,405,0.207,28,135,0.211,19,90,0.317,158,499,341
gpt-4.1-mini,command_shell_execution,18,2,0.437,59,135,0.133,6,45,0.148,4,27,0.326,60,184,124
gpt-4.1-mini,network_service_behavior,117,13,0.513,360,702,0.256,60,234,0.265,31,117,0.356,337,947,610
gpt-4.1-mini,persistence_registry_run_key,9,1,0.506,41,81,0.148,4,27,0.167,3,18,0.444,32,72,40
gpt-4.1-mini,script_execution_chain,18,2,0.389,168,432,0.111,16,144,0.151,19,126,0.569,99,174,75
gpt-5.4-mini,collection_or_tool_invocation,45,5,0.778,315,405,0.585,79,135,0.556,50,90,0.397,153,385,232
gpt-5.4-mini,command_shell_execution,18,2,0.763,103,135,0.733,33,45,0.593,16,27,0.429,70,163,93
gpt-5.4-mini,network_service_behavior,117,13,0.885,621,702,0.842,197,234,0.803,94,117,0.683,544,796,252
gpt-5.4-mini,persistence_registry_run_key,9,1,0.642,52,81,0.481,13,27,0.333,6,18,0.719,46,64,18
gpt-5.4-mini,script_execution_chain,18,2,0.715,309,432,0.618,89,144,0.341,43,126,0.643,101,157,56
gpt-5.5 low raw,collection_or_tool_invocation,45,5,0.911,369,405,0.904,122,135,0.900,81,90,0.583,651,1116,366
gpt-5.5 low raw,command_shell_execution,18,2,0.889,120,135,0.889,40,45,0.889,24,27,0.490,229,467,193
gpt-5.5 low raw,network_service_behavior,117,13,0.996,699,702,0.991,232,234,0.991,116,117,0.634,1401,2211,594
gpt-5.5 low raw,persistence_registry_run_key,9,1,0.988,80,81,0.889,24,27,0.889,16,18,0.802,138,172,27
gpt-5.5 low raw,script_execution_chain,18,2,0.794,343,432,0.778,112,144,0.722,91,126,0.854,472,553,55
