model,stage,framework_group,run_count,chain_count,action_step_recall,action_step_recall_hits,action_step_recall_total,critical_evidence_recall,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,stage1,collection_or_tool_invocation,15,5,0.674,91,135,0.333,15,45,0.367,11,30,0.399,77,193,116
gpt-4.1-mini,stage1,command_shell_execution,6,2,0.667,30,45,0.2,3,15,0.333,3,9,0.314,27,86,59
gpt-4.1-mini,stage1,network_service_behavior,39,13,0.671,157,234,0.372,29,78,0.436,17,39,0.468,154,329,175
gpt-4.1-mini,stage1,persistence_registry_run_key,3,1,0.63,17,27,0.111,1,9,0.333,2,6,0.35,14,40,26
gpt-4.1-mini,stage1,script_execution_chain,6,2,0.549,79,144,0.188,9,48,0.238,10,42,0.521,50,96,46
gpt-4.1-mini,stage2,collection_or_tool_invocation,15,5,0.393,53,135,0.133,6,45,0.1,3,30,0.243,43,177,134
gpt-4.1-mini,stage2,command_shell_execution,6,2,0.4,18,45,0.133,2,15,0.0,0,9,0.355,22,62,40
gpt-4.1-mini,stage2,network_service_behavior,39,13,0.479,112,234,0.192,15,78,0.179,7,39,0.251,105,418,313
gpt-4.1-mini,stage2,persistence_registry_run_key,3,1,0.222,6,27,0.0,0,9,0.0,0,6,0.625,5,8,3
gpt-4.1-mini,stage2,script_execution_chain,6,2,0.368,53,144,0.042,2,48,0.095,4,42,0.628,27,43,16
gpt-4.1-mini,stage3,collection_or_tool_invocation,15,5,0.341,46,135,0.156,7,45,0.167,5,30,0.295,38,129,91
gpt-4.1-mini,stage3,command_shell_execution,6,2,0.244,11,45,0.067,1,15,0.111,1,9,0.306,11,36,25
gpt-4.1-mini,stage3,network_service_behavior,39,13,0.389,91,234,0.205,16,78,0.179,7,39,0.39,78,200,122
gpt-4.1-mini,stage3,persistence_registry_run_key,3,1,0.667,18,27,0.333,3,9,0.167,1,6,0.542,13,24,11
gpt-4.1-mini,stage3,script_execution_chain,6,2,0.25,36,144,0.104,5,48,0.119,5,42,0.629,22,35,13
gpt-5.4-mini,stage1,collection_or_tool_invocation,15,5,0.83,112,135,0.4,18,45,0.7,21,30,0.462,48,104,56
gpt-5.4-mini,stage1,command_shell_execution,6,2,0.489,22,45,0.4,6,15,0.333,3,9,0.314,11,35,24
gpt-5.4-mini,stage1,network_service_behavior,39,13,0.829,194,234,0.744,58,78,0.744,29,39,0.574,163,284,121
gpt-5.4-mini,stage1,persistence_registry_run_key,3,1,0.667,18,27,0.333,3,9,0.5,3,6,0.824,14,17,3
gpt-5.4-mini,stage1,script_execution_chain,6,2,0.812,117,144,0.562,27,48,0.405,17,42,0.771,37,48,11
gpt-5.4-mini,stage2,collection_or_tool_invocation,15,5,0.763,103,135,0.644,29,45,0.433,13,30,0.419,49,117,68
gpt-5.4-mini,stage2,command_shell_execution,6,2,0.956,43,45,1.0,15,15,0.778,7,9,0.429,33,77,44
gpt-5.4-mini,stage2,network_service_behavior,39,13,0.902,211,234,0.872,68,78,0.846,33,39,0.713,186,261,75
gpt-5.4-mini,stage2,persistence_registry_run_key,3,1,0.593,16,27,0.556,5,9,0.333,2,6,0.692,18,26,8
gpt-5.4-mini,stage2,script_execution_chain,6,2,0.66,95,144,0.625,30,48,0.31,13,42,0.617,29,47,18
gpt-5.4-mini,stage3,collection_or_tool_invocation,15,5,0.741,100,135,0.711,32,45,0.533,16,30,0.341,56,164,108
gpt-5.4-mini,stage3,command_shell_execution,6,2,0.844,38,45,0.8,12,15,0.667,6,9,0.51,26,51,25
gpt-5.4-mini,stage3,network_service_behavior,39,13,0.923,216,234,0.91,71,78,0.821,32,39,0.777,195,251,56
gpt-5.4-mini,stage3,persistence_registry_run_key,3,1,0.667,18,27,0.556,5,9,0.167,1,6,0.667,14,21,7
gpt-5.4-mini,stage3,script_execution_chain,6,2,0.674,97,144,0.667,32,48,0.31,13,42,0.565,35,62,27
gpt-5.5 low raw,stage1,collection_or_tool_invocation,5,5,1.0,45,45,1.0,15,15,1.0,10,10,0.593,48,81,33
gpt-5.5 low raw,stage1,command_shell_execution,2,2,0.6,9,15,0.6,3,5,0.667,2,3,0.333,12,36,24
gpt-5.5 low raw,stage1,network_service_behavior,13,13,1.0,78,78,1.0,26,26,1.0,13,13,0.728,110,151,41
gpt-5.5 low raw,stage1,persistence_registry_run_key,1,1,1.0,9,9,0.0,0,3,0.0,0,2,0.75,9,12,3
gpt-5.5 low raw,stage1,script_execution_chain,2,2,0.938,45,48,0.938,15,16,0.929,13,14,0.833,60,72,12
gpt-5.5 low raw,stage2,collection_or_tool_invocation,5,5,1.0,45,45,1.0,15,15,1.0,10,10,0.636,56,88,32
gpt-5.5 low raw,stage2,command_shell_execution,2,2,1.0,15,15,1.0,5,5,1.0,3,3,0.667,20,30,10
gpt-5.5 low raw,stage2,network_service_behavior,13,13,1.0,78,78,1.0,26,26,1.0,13,13,0.675,114,169,55
gpt-5.5 low raw,stage2,persistence_registry_run_key,1,1,1.0,9,9,1.0,3,3,1.0,2,2,1.0,12,12,0
gpt-5.5 low raw,stage2,script_execution_chain,2,2,0.688,33,48,0.688,11,16,0.571,8,14,0.938,30,32,2
gpt-5.5 low raw,stage3,collection_or_tool_invocation,5,5,0.8,36,45,0.8,12,15,0.8,8,10,0.488,41,84,43
gpt-5.5 low raw,stage3,command_shell_execution,2,2,1.0,15,15,1.0,5,5,1.0,3,3,0.5,15,30,15
gpt-5.5 low raw,stage3,network_service_behavior,13,13,0.974,76,78,1.0,26,26,0.923,12,13,0.648,103,159,56
gpt-5.5 low raw,stage3,persistence_registry_run_key,1,1,1.0,9,9,1.0,3,3,1.0,2,2,0.6,12,20,8
gpt-5.5 low raw,stage3,script_execution_chain,2,2,1.0,48,48,1.0,16,16,0.929,13,14,0.789,60,76,16
